央视高清,#genre#
CCTV-1综合,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227014/index.m3u8
CCTV-1综合,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8
CCTV-1综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1综合,http://39.134.24.24/PLTV/88888888/224/3221225829/index.m3u8
CCTV-1综合,http://39.134.24.24/PLTV/88888888/224/3221225684/index.m3u8
CCTV-1综合,http://39.134.155.133/PLTV/88888888/224/3221225658/index.m3u8
CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1综合,http://223.110.245.170/PLTV/3/224/3221225530/index.m3u8
CCTV-1综合,http://223.110.243.159/ott.js.chinamobile.com/PLTV/3/224/3221227725/index.m3u8
CCTV-1综合,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv1/HD-8000k-1080P-cctv1
CCTV-2财经,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226915/index.m3u8
CCTV-2财经,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV-2财经,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2财经,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV-2财经,http://39.134.24.24/PLTV/88888888/224/3221225831/index.m3u8
CCTV-2财经,http://39.134.155.153/PLTV/88888888/224/3221225650/index.m3u8
CCTV-2财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2财经,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8
CCTV-2财经,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv2/HD-8000k-1080P-cctv2
CCTV-3综艺,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3综艺,http://39.134.24.24/PLTV/88888888/224/3221226023/index.m3u8
CCTV-3综艺,http://39.134.24.24/PLTV/88888888/224/3221225807/index.m3u8
CCTV-3综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3综艺,http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227650/index.m3u8
CCTV-3综艺,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv3/HD-8000k-1080P-cctv3
CCTV-3综艺,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-3综艺,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-4国际,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8
CCTV-4国际,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4国际,http://39.134.155.215/PLTV/88888888/224/3221225641/index.m3u8
CCTV-4国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4国际,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8
CCTV-4国际,http://183.207.248.71:80/cntv/live1/cctv-4/cctv-4
CCTV-4国际,http://117.136.154.86/PLTV/88888888/224/3221225501/index.m3u8
CCTV-5体育,http://39.135.138.59:18890/PLTV/88888910/224/3221225648/index.m3u8
CCTV-5体育,http://39.134.39.39/PLTV/88888888/224/3221226224/index.m3u8
CCTV-5体育,http://39.134.24.24/PLTV/88888888/224/3221226025/index.m3u8
CCTV-5体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5体育,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv5/HD-8000k-1080P-cctv5
CCTV-5体育,http://117.136.154.98/PLTV/88888888/224/3221225780/index.m3u8
CCTV-5+体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225706/index.m3u8
CCTV-5+体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+体育,http://39.134.24.24/PLTV/88888888/224/3221225809/index.m3u8
CCTV-5+体育,http://39.134.24.24/PLTV/88888888/224/3221225718/index.m3u8
CCTV-5+体育,http://39.134.24.24/PLTV/88888888/224/3221225641/index.m3u8
CCTV-5+体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+体育,http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227631/index.m3u8
CCTV-5+体育,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv05plus/HD-8000k-1080P-cctv05plus
CCTV-5+体育,http://39.134.39.39/PLTV/88888888/224/3221226253/index.m3u8
CCTV-5+体育,http://39.134.155.145/PLTV/88888888/224/3221225648/index.m3u8
CCTV-5+体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-6电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV-6电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6电影,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV-6电影,http://39.134.39.39/PLTV/88888888/224/3221226226/index.m3u8
CCTV-6电影,http://39.134.39.39/PLTV/88888888/224/3221226148/index.m3u8
CCTV-6电影,http://39.134.24.24/PLTV/88888888/224/3221226027/index.m3u8
